Month_Index,Total_Revenue_NAD_000,Fixed_OPEX_NAD_000,Variable_OPEX_NAD_000,Total_OPEX_NAD_000,Depreciation_NAD_000,EBIT_NAD_000,Interest_Expense_NAD_000,Tax_Expense_NAD_000,NPAT_NAD_000,EBITDA_NAD_000,Total_Revenue_USD_000,Fixed_OPEX_USD_000,Variable_OPEX_USD_000,Total_OPEX_USD_000,Depreciation_USD_000,EBIT_USD_000,Interest_Expense_USD_000,Tax_Expense_USD_000,NPAT_USD_000,EBITDA_USD_000
48,0.0,435.0833333333333,328.3333333333333,763.4166666666666,82.81944444444444,-846.2361111111111,0.0,0.0,-846.2361111111111,-763.4166666666666,0.0,22.00725004215141,16.607654695666834,38.61490473781824,4.1891474175237455,-42.804052155341985,0.0,0.0,-42.804052155341985,-38.61490473781824
49,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.85175879396985,16.74204355108878,39.593802345058634,4.16178112786153,-43.755583472920165,0.0,0.0,-43.755583472920165,-39.593802345058634
50,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.828815261044173,16.725234270414994,39.55404953145917,4.1576026327532345,-43.7116521642124,0.0,0.0,-43.7116521642124,-39.55404953145917
51,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.805917753259777,16.70845870946172,39.5143764627215,4.153432519781567,-43.66780898250307,0.0,0.0,-43.66780898250307,-39.5143764627215
52,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.78306613226453,16.691716766867067,39.4747828991316,4.149270763749722,-43.62405366288132,0.0,0.0,-43.62405366288132,-39.4747828991316
53,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.76026026026026,16.67500834167501,39.43526860193527,4.145117339561784,-43.580385941497056,0.0,0.0,-43.580385941497056,-39.43526860193527
54,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.7375,16.658333333333335,39.395833333333336,4.1409722222222225,-43.53680555555556,0.0,0.0,-43.53680555555556,-39.395833333333336
55,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.714785214785216,16.641691641691644,39.35647685647686,4.136835386835386,-43.493312243312246,0.0,0.0,-43.493312243312246,-39.35647685647686
56,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.692115768463076,16.625083166999335,39.317198935462415,4.132706808605012,-43.44990574406743,0.0,0.0,-43.44990574406743,-39.317198935462415
57,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.66949152542373,16.608507809903625,39.27799933532736,4.128586462833721,-43.40658579816108,0.0,0.0,-43.40658579816108,-39.27799933532736
58,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.64691235059761,16.591965471447544,39.23887782204516,4.124474324922533,-43.36335214696769,0.0,0.0,-43.36335214696769,-39.23887782204516
59,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.624378109452735,16.57545605306799,39.19983416252073,4.12037037037037,-43.320204532891104,0.0,0.0,-43.320204532891104,-39.19983416252073
60,0.0,454.75,333.1666666666667,787.9166666666667,82.81944444444444,-870.7361111111112,0.0,0.0,-870.7361111111112,-787.9166666666667,0.0,22.601888667992046,16.55897945659377,39.16086812458582,4.1162745747735805,-43.2771426993594,0.0,0.0,-43.2771426993594,-39.16086812458582
